Date,Time,Booked By,Device ID,Booked At,Updated At,Reason,Kiosk
2025-10-21,09:00,Ava Carter,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:42:32.707452,2025-10-20T18:44:11.967894,cancelled,yes
2025-10-21,10:30,Ronald Wong,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:38:16.528647,2025-10-20T18:44:13.465538,cancelled,yes
2025-10-21,09:00,Amelia Ward,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:44:32.743600,2025-10-20T18:44:32.743676,booked,yes
2025-10-21,09:15,Ethan Brooks,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:44:36.084397,2025-10-20T18:44:36.084474,booked,yes
2025-10-21,09:30,Olivia Parker,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:44:41.309074,2025-10-20T18:44:41.309153,booked,yes
2025-10-21,09:45,Ava Carter,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:44:45.266937,2025-10-20T18:44:45.267087,booked,yes
2025-10-21,10:00,Ethan Brooks,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:44:49.690165,2025-10-20T18:44:49.690246,booked,yes
2025-10-21,10:15,Logan Reed,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:44:59.319812,2025-10-20T18:44:59.319904,booked,yes
2025-10-21,10:30,Charlotte Hughes,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:45:10.497643,2025-10-20T18:45:10.497713,booked,yes
2025-10-21,10:45,James Foster,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:45:15.370816,2025-10-20T18:45:15.370907,booked,yes
2025-10-21,14:00,Henry Long,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:45:23.168799,2025-10-20T18:45:23.168892,booked,yes
2025-10-21,14:15,Calvin Chen,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:45:29.466374,2025-10-20T18:45:29.466447,booked,yes
2025-10-21,14:30,Willis Chan,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:45:33.021517,2025-10-20T18:45:33.021601,booked,yes
2025-10-21,14:45,Alvin Phothikunchanan,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:45:41.482287,2025-10-20T18:45:41.482411,booked,yes
2025-10-21,11:00,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T18:46:30.405533,2025-10-20T18:46:30.405655,booked,no
2025-10-21,11:15,Dylan Fisher,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:58:33.045254,2025-10-20T18:58:33.045344,booked,yes
2025-10-21,11:30,Dss,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:58:45.746008,2025-10-20T18:58:45.746086,booked,yes
2025-10-21,11:30,Dss,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:58:45.746008,2025-10-20T18:58:58.710934,cancelled,yes
2025-10-21,11:30,Mason Hill,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:59:04.994361,2025-10-20T18:59:04.994526,booked,yes
2025-10-21,11:45,Ava Carter,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:59:14.150119,2025-10-20T18:59:14.150246,booked,yes
2025-10-21,17:45,Elijah Gray,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:59:24.822575,2025-10-20T18:59:24.822689,booked,yes
2025-10-21,15:30,Logan Reed,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:59:53.504784,2025-10-20T18:59:53.504908,booked,yes
2025-10-21,15:45,Luke Griffin,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T19:00:11.234436,2025-10-20T19:00:11.234586,booked,yes
2025-10-21,15:00,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T19:00:18.861678,2025-10-20T19:00:18.861840,booked,no
2025-10-21,15:15,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T19:01:49.769186,2025-10-20T19:01:49.769269,booked,no
2025-10-21,16:00,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T19:02:04.362773,2025-10-20T19:02:04.362863,booked,no
2025-10-21,16:15,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T19:03:55.449359,2025-10-20T19:03:55.449441,booked,no
2025-10-21,16:30,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T19:04:04.993711,2025-10-20T19:04:04.993798,booked,no
2025-10-21,16:45,Ethan Brooks,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T19:04:23.951391,2025-10-20T19:04:23.951491,booked,yes
2025-10-21,16:30,Willis Chan,device_1760545114793_004rlhi7g_TW96aWxsYS,2025-10-20T19:04:04.993711,2025-10-20T19:04:37.240696,cancelled,no
2025-10-21,17:30,,device_1760545226512_yxkki32lz_TW96aWxsYS,2025-10-21T03:20:29.817571,2025-10-21T03:20:29.817650,booked,no
2025-10-21,09:30,Olivia Parker,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:44:41.309074,2025-10-21T03:25:49.310703,cancelled,yes
2025-10-21,09:15,Ethan Brooks,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:44:36.084397,2025-10-21T03:27:12.482028,cancelled,yes
2025-10-21,14:45,Alvin Phothikunchanan,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:45:41.482287,2025-10-21T03:27:15.682870,cancelled,yes
2025-10-21,16:45,Ethan Brooks,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T19:04:23.951391,2025-10-21T03:27:48.631243,cancelled,yes
2025-10-21,17:30,,device_1760545226512_yxkki32lz_TW96aWxsYS,2025-10-21T03:20:29.817571,2025-10-21T03:27:54.558462,cancelled,no
2025-10-21,09:45,Ava Carter,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:44:45.266937,2025-10-21T03:30:48.485305,cancelled,yes
2025-10-21,10:00,Ethan Brooks,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:44:49.690165,2025-10-21T03:40:35.095203,completed,yes
